Address;Title;Description;Rooms;Living Space (sqm);Price
Rapperswilerstrasse, 8733 Eschenbach SG;BAUSTART ERFOLGT - Neubauwohnungen TWINS;;3.5 rooms;118m²;CHF 885,000.–
Untere Grundgasse 8, 9500 Wil SG;173 m² grosse 5.5-Zi.-Wohnung im 1. OG - Neualtwil;"Am Grundweg 11 in Wil (1. Etappe) können Sie eine fertig ausgebaute und möblierte Muster-Wohnung sowie das Projekt-Modell 1:200 besichtigen. Vereinbaren Sie einen unverbindlichen Besichtigungstermin.Auf der Sonnenseite an attraktiver und sonniger Hanglage entsteht in der Stadt Wil SG die moderne Wohnüberbauung ""Neualtwil"" - 2. Bauetappe mit 2½- bis 5½-Zimmer-Eigentumswohnungen. Der Bezug ist ab Herbst 2024.Die Stadtbus-Haltestelle ist in unmittelbarer Nähe bei der Grund- oder Hofbergstrasse. Der Bus hat regelmässige Verbindungen Richtung Stadtzentrum und Bahnhof (SBB/IC/IR). Der Autobahnzubringer Wil ist 5 Minuten entfernt. Auch zu Fuss ist das Stadtzentrum (sämtliche Einkaufsmöglichkeiten, Restaurants, Banken, Post, Bahnhof, etc.) in ca. 15 Minuten erreichbar. Die Kinder besuchen alle Schulstufen bis zur Kantonsschule in Wil.Gerne möchten wir Ihnen die wesentlichsten Punkte näher vorstellen. • Die Mehrfamilienhäuser sind optimal angeordnet und besonnt. • moderne Architektur: Dank den teilweise raumhohen Fenstern gelangt sehr viel Licht in die Wohnräume. • Der durchdachte Grundriss bietet viel Raum für individuelles Wohnen. • breiter, grosszügiger Eingangsbereich/Korridor mit Einbauschränken/Garderobe • offene Küche mit modernsten Geräten • grosszügiges Wohnen/Essen/Küche • Elternzimmer mit eigener Dusche/Bad/WC • zusätzliche separate Dusche/WC • Der Wasch- sowie Kellerraum ist mit der Wohnung verbunden. • sonniger, gedeckter Balkon • In der Wohnung befindet sich ein Reduit/Abstellraum. • Die Gebäude werden massiv und erdbebensicher erstellt und erreichen ausgezeichnete Schallwerte - 1A-Bauweise - bewährte Vetter-Qualität. • Mit dem Lift gelangen Sie direkt und komfortabel von der Tiefgarage ins Wohngeschoss (rollstuhlgängig). • Für die parkähnliche Umgebungsgestaltung wurde ein erfahrener Landschaftsarchitekt beauftragt. • Alle Bauten werden im Minergie-Standard (zertifiziert) erstellt, so wird auch der Umwelt speziell Sorge getragen. • Die Häuser werden mit Erdwärme / Tiefenbohrungen beheizt. Auf dem Dach wird die hauseigene Photovoltaik-Anlage für die Stromerzeugung montiert. In der Tiefgarage ist ein Management für Elektromobilität vorgesehen. • Jede Wohnung verfügt über eine eigene Komfortlüftung. • Minergie: mehr Wohnqualität, gute Wirtschaftlichkeit, geringer Energieverbrauch, dichtere Gebäudehülle • günstige MINERGIE-Hypotheken (Fragen Sie Ihre Hausbank) Tiefgaragenplatz à Fr. 35'000.00Tiefgaragenplatz mit Abstellraum à Fr. 49'000.002 Tiefgaragenplätze (hintereinander) à Fr. 60'000.00Motorradabstellplatz à Fr. 5'000.00zusätzlicher Abstellraum ab Fr. 16'000.00Die detaillierte Dokumentation über dieses und alle weiteren Projekte finden Sie unter www.vetter.ch. Für einen unverbindlichen Besichtigungstermin steht Ihnen Stefan Vetter unter Telefon 052 369 45 48 oder Mobile 079 278 55 99 gerne zur Verfügung.";5.5 rooms;173m²;CHF 1,150,000.–
Weesstrasse 13, 9434 Au SG;3.5-Zimmer Wohnung 1. Obergeschoss;;3.5 rooms;100m²;CHF 884,500.–
7310 Bad Ragaz;Toller Gelegenheit Mitten im Zentrum. Ideal auch als Altersresidenz oder Ferienwohnung;;3.5 rooms;101m²;CHF 890,000.–
Bürgstrasse 2a, 8732 Neuhaus SG;3.5 Zimmer-Neubau Eigentumswohnung (W2);;3.5 rooms;119m²;CHF 975,000.–
Fürstenlandstrasse 69, 9500 Wil SG;J'ADORE - Exklusives Wohnen in Wil - Nur noch 2 Wohnungen!;;5.5 rooms;180m²;CHF 1,490,000.–
Ahornstrasse, 8730 Uznach;Einfamilienhäuser mit Weitblick über Uznach SG;;5.5 rooms;174m²;CHF 1,833,000.–
Walhusen 6, 9526 Zuckenriet;Exklusive Etagenwohnung auf 155 m2;;5.5 rooms;155m²;CHF 1,280,000.–
Hauptstrasse 124, 9658 Wildhaus;RESERVIERT: Exklusive Neubauwohnung an bester Lage;;2.5 rooms;78m²;Price on request
Bürgstrasse 2a, 8732 Neuhaus SG;4.5 Zimmer-Neubau Attikawohnung (W7);;4.5 rooms;135m²;CHF 1,270,000.–
Buechenstrasse 19, 9422 Staad;Exklusive Neubau 41/2 Zi. Dachmaisonette / Spektakulär wohnen im-grüebli.ch;;4.5 rooms;142m²;Price on request
