Address;Title;Description;Rooms;Living Space (sqm);Price
Rue Denise Péronne 2, 2800 Delémont;Magnifique appartement de 3,5 pièces;;3.5 rooms;80m²;CHF 404,000.–
Sur Roté, 2942 Alle;Magnifique et spacieuse villa mitoyenne neuve haut standing de 5,5 pièces;;5.5 rooms;155m²;CHF 595,000.–
Chemin de la Combe, 2853 Courfaivre;Villa individuelle neuve de 5.5 pièces à Courfaivre;;5.5 rooms;156m²;CHF 935,000.–
Milieu du Village 2, 2923 Courtemaîche;Construction de 2 villas de haut standing;;5.5 rooms;130m²;Price on request
Chemin de la Combe, 2853 Courfaivre;Villa individuelle neuve de 5.5 pièces à Courfaivre;;5.5 rooms;156m²;CHF 935,000.–
En Briscol, 2853 Courfaivre;PORTES OUVERTES -  Superbes appartements de haut standing en PPE avec place de parc dans le garage;;4.5 rooms;126m²;CHF 547,000.–
2853 Courfaivre;Lot C - Les Terrasses de Courfaivre;Les Terrasses de Courfaivre, situées dans la charmante commune de la Haute-Sorne, est un projet comprenant un immeuble sur 3 étages habitables.A la fois à la croisée de toutes les commodités en exempts de nuisances urbaines, ces logements de standing sont composés de 4 lots de 4,5 pièces ainsi que de deux attiques de 3,5 pièces. L'immeuble dispose également de 10 places de parc souterraines ainsi que 2 places extérieures.Design épuré, matériaux de haute qualité et dégagement optimal sur les alentours, tous les éléments ont été pensés en vue d'assurer esthétisme, fonctionnalité et modernité à ce projet.Toutes les informations répertoriées dans cette brochure, les surfaces et les plans, sont utilisées à des fins publicitaires. Elles sont communiquées à titre indicatif et n'ont aucune valeur contractuelle pouvant engager Barnes Suisse SA ou l'un de ses partenaires.;4.5 rooms;126m²;CHF 547,000.–
Rue des Grands-Prés, 2854 Haute-Sorne;2 Villas modulables de 4,5 à 6,5 pces;;5.5 rooms;;CHF 695,000.–
Chemin de la Combe, 2853 Courfaivre;Villa individuelle neuve de 5.5 pièces à Courfaivre;;5.5 rooms;156m²;CHF 935,000.–
Rue des Longchamps 4, 2854 Bassecourt;Magnifique appartement  de 4,5 pièces;;4.5 rooms;115m²;CHF 630,000.–
Route de Courtételle 1, 2843 Châtillon;Appartement de 3 chambres avec un grand salon-cuisine;;4.5 rooms;102m²;CHF 560,000.–
