Address;Title;Description;Rooms;Living Space (sqm);Price
Bäumlihofstrasse 125, 4058 Basel;Charmantes Wohnen am grünen Stadtrand von Basel;An bevorzugter Lage verkaufen wir ein charmantes 2-Familienhaus mit viel Platz, Ruhe und gemütlichen Sonnenstunden in einem idyllischen Garten.Diese Liegenschaft überzeugt durch: • Potenzial aus dem 2-Familienhaus ein grosszügiges Einfamilienhaus zu gestalten • funktionale Wohn- und Nebenraumflächen, verteilt auf 2 x 3-Zimmerwohnungen und 2 Mansardenzimmer im Dachgeschoss • Möglichkeit zum Ausbau des Dachstocks • Werkstatt mit Werkbank im Untergeschoss • sonnenverwöhnter und gepflegter Garten mit schöner Terrasse und kleinem Naturteich • Einkaufen, Schulen und Spital in Gehdistanz erreichbar • beste ÖV-Anbindung in die Stadt und zu den grossen Life-Science-Unternehmen • Naherholungsgebiet Lange-Erlen in unmittelbarer Nähe Haben wir Ihr Interesse geweckt? Bestellen Sie noch heute unsere ausführliche Verkaufsdokumentation mittels Kontaktformular (auf der rechten Seite) und Sie erhalten weitere spannende Informationen zur Immobilie. Wir freuen uns über Ihre Kontaktaufnahme!;6 rooms;158m²;CHF 1,650,000.–
Im Sesselacker 24, 4059 Basel;Charmante Eigentumswohnung zu hoch attraktivem Preis;Die Liegenschaft befindet sich in einem top Zustand. Im Jahr 2022 wurden Dach, Fassade, sowie alle Wasser- und Stromleitungen ersetzt. Sämtliche Fenster wurden ein paar Jahre früher erneuert. In herrlich ruhiger und grüner Umgebung, im begehrten Bruderholz Quartier, finden Sie dieses hübsche Bijou. In weniger als 15 Minuten erreichen Sie mit dem ÖV den Bahnhof Basel SBB und das Zentrum der Stadt Basel mit all seiner grossartigen Infrastruktur. Über eine kurze Treppe gelangen Sie vor die Wohnungstür und treten in ein grosszügiges Entrée ein. Von hier gehen alle anderen Räume ab. Rechts zunächst in ein sehr helles Schlafzimmer (13,65m²) mit Balkon (4,4m²) und grossartiger freier Sicht über Basel. Gleich daneben befindet sich ein zweites Zimmer (14,9m²) mit grossem Einbauschrank und begehbarem Reduit hinter einer Schiebetüre. Hier können Sie Ihre Wünsche erfüllen: ein Hobbyraum mit angrenzendem Stauraum, Gästezimmer, Kinderzimmer mit viel Platz für Spielzeug, grosse Ankleide, Büro mit Materialraum etc. Weiter vom Entrée gelangen Sie in das hübsche, helle Badezimmer mit Badewanne, Handtuchwärmer, Fenster für Tageslicht, WC, Lavabo mit Spiegelschrank und ein Schränkchen mit viel Stauraum. Die Küche in U-Form mit grossem Fenster ins Grüne ist voll ausgestattet mit Cerankochfeld, Backofen, Waschmaschine/Tumbler und Geschirrspüler (alles neuwertig), Kühlschrank, viel Stauraum und Arbeitsfläche. Nun ins grosse Wohn-/Esszimmer (33.5m²) mit gemütlichem Schwedenofen und einem zweiten Balkon (4,3m²) mit neuer Markise. Hier geniessen Sie in aller Ruhe einen herrlichen Blick ins Grüne! Auf dieser Seite befindet sich im Garten ein lauschiger Sitzplatz mit Grillplatz, der mit der sehr angenehmen Nachbarschaft geteilt werden kann. Im Keller verfügen Sie über einen eigenen Kellerraum (6.0m²), sowie eine ausgestattete Werkstatt zur Mitbenutzung und eine Sauna mit Dusche zur gemeinsamen Nutzung.Eine Gasheizung mit Radiatoren sorgt für wohlige Wärme, die Fenster haben Doppelverglasung, die Storen im Wohnzimmer sind elektrisch. Ein Tiefgaragenplatz kann in unmittelbarer Nachbarschaft dazu gemietet werden, ausserdem gibt es kostenlose Parkplätze entlang der Quartierstrasse. Einkauf, Schulen, Spazierwege, Bushaltestelle befinden sich im Quartier.Zögern Sie nicht! Diese Wohnung wird Ihnen gefallen!;3.5 rooms;88m²;CHF 920,000.–
Unholzgasse 7, 4125 Riehen;Sonniges 6.5-Zimmer-Reiheneckhaus in Riehen;Charmantes Reiheneckhaus mit GartensitzplatzDas im Jahre 1926 erbaute Reiheneckhaus im beliebten Riehen bietet eine ideale Wohnlösung für Familien und Paare, die sich in einer ruhigen Umgebung und einer familienfreundlichen Nachbarschaft besonders wohl fühlen. Die Liegenschaft besticht durch seine durchdachte Raumaufteilung, die sich über drei Etagen erstreckt und das Wohnquartier bietet zahlreiche Einkaufsmöglichkeiten sowie eine erstklassige Verkehrsanbindung. Mit den folgenden Highlights überzeugt diese Liegenschaft: • Helle Zimmer • Sitzplatz und Balkon • Cheminée • Guter ÖV Anschluss • Nur wenige Autominuten von Basel • 1 Abstellplatz Haben wir Ihr Interesse geweckt und Sie möchten sich vor Ort von dieser Liegenschaft überzeugen lassen? Dann vereinbaren Sie doch direkt einen Besichtigungstermin mit uns!MoneyPark - Ihr unabhängiger Partner für Hypotheken und Immobilien - Grösste Auswahl - über 150 Partner für Hypothekar- und Vorsorgelösungen - Alles aus einer Hand - von der Suche und Finanzierung über das Eigentum bis hin zum Verkauf der Immobilie - Einzigartiges Kundenerlebnis - Kombination aus persönlicher Beratung und innovativer Technologie - Unabhängige und transparente Beratung - in einer von über 20 Filialen oder via Telefon oder online;6.5 rooms;176m²;Price on request
Unholzgasse 7, 4125 Riehen;Sonniges 6.5-Zimmer-Reiheneckhaus in Riehen;Charmantes Reiheneckhaus mit Gartensitzplatz Das im Jahre 1926 erbaute Reiheneckhaus im beliebten Riehen bietet eine ideale Wohnlösung für Familien und Paare, die sich in einer ruhigen Umgebung und einer familienfreundlichen Nachbarschaft besonders wohl fühlen. Die Liegenschaft besticht durch seine durchdachte Raumaufteilung, die sich über drei Etagen erstreckt und das Wohnquartier bietet zahlreiche Einkaufsmöglichkeiten sowie eine erstklassige Verkehrsanbindung. Mit den folgenden Highlights überzeugt diese Liegenschaft: • Helle Zimmer • Sitzplatz und Balkon • Cheminée • Guter ÖV Anschluss • Nur wenige Autominuten von Basel • 1 Abstellplatz Haben wir Ihr Interesse geweckt und Sie möchten sich vor Ort von dieser Liegenschaft überzeugen lassen? Dann vereinbaren Sie doch direkt einen Besichtigungstermin mit uns!MoneyPark - Ihr unabhängiger Partner für Hypotheken und Immobilien - Grösste Auswahl - über 150 Partner für Hypothekar- und Vorsorgelösungen - Alles aus einer Hand - von der Suche und Finanzierung über das Eigentum bis hin zum Verkauf der Immobilie - Einzigartiges Kundenerlebnis - Kombination aus persönlicher Beratung und innovativer Technologie - Unabhängige und transparente Beratung - in einer von über 20 Filialen oder via Telefon oder online;6.5 rooms;176m²;CHF 1,690,000.–
Basel, 4054 Basel;Geräumige Maisonette-Dachwohnung im Gotthelfquartier;Diese stilvolle 4.5-Zimmerwohnung befindet sich an bevorzugter Wohnlage im Basler Gotthelfquartier und erstreckt sich über zwei Etagen. Besondere Highlights sind der grosszügige Wohnbereich im Dachgeschoss, welches auch in weiteren Zimmern unterteilt werden kann sowie die geräumige, offene Wohnküche, die mit hochwertigen Geräten ausgestattet ist. Zudem beinhaltet die Wohnung zwei moderne Badezimmer, eines davon mit Badewanne und das andere mit Dusche ausgestattet. Die beiden Schlafzimmer verfügen über einen Zugang zum Balkon, der eine wunderbare Aussicht bietet. Für Ihr Fahrzeug steht eine separate Garagenbox zur Verfügung. Der gemeinschaftliche Garten rundet das attraktive Angebot optimal ab. Die Liegenschaft verfügt über keinen Lift. Wir freuen uns auf Ihre Anfrage!Genaue Adresse verfügbar nach Registrierung auf neho.ch.AN EINER BESICHTIGUNG INTERESSIERT? BITTE ANMELDEN: https://neho.ch/b/4054-24-3;4.5 rooms;179m²;CHF 1,595,000.–
Basel, 4057 Basel;Helle 4.5-Zimmer Maisonette Wohnung an zentraler Lage;In der Nähe vom Rhein verkaufen wir eine charmante 4.5-Zimmer Maisonettewohnung (im Baurecht). Der Grundriss dieser Maisonettewohnung ist praktisch durchdacht und bietet eine angenehme Raumaufteilung. Die Highlights sind das helle Wohnzimmer und die separate Küche mit Ausgang zum eigenen Balkon. Das untere Geschoss beinhaltet drei Schlafzimmer sowie ein Badezimmer mit Badewanne. Zur Wohnung gehören ein eigener Autoeinstellplatz sowie ein Kellerabteil.Genaue Adresse verfügbar nach Registrierung auf neho.ch.AN EINER BESICHTIGUNG INTERESSIERT? BITTE ANMELDEN: https://neho.ch/b/4057-24-1;4.5 rooms;115m²;CHF 980,000.–
Basel, 4057 Basel;Willkommen in Ihrem Zuhause in Basel - Komfort und Charme vereint;Diese charmante Wohnung bietet Ihnen ein komfortables Zuhause in einer der schönsten Städte der Schweiz. Mit ihrer zentralen Lage sind Sie nur wenige Minuten von Einkaufsmöglichkeiten, Restaurants und öffentlichen Verkehrsmitteln entfernt. Die Wohnung verfügt über großzügige Wohnräume, die viel Platz für Ihre individuellen Bedürfnisse bieten. Genießen Sie die modernen Annehmlichkeiten und den zeitgemäßen Stil dieser Wohnung. Kommen Sie vorbei und entdecken Sie Ihr neues Zuhause in Basel!Genaue Adresse verfügbar nach Registrierung auf neho.ch.AN EINER BESICHTIGUNG INTERESSIERT? BITTE ANMELDEN: https://neho.ch/b/4057-23-1;4.5 rooms;93m²;CHF 790,000.–
4055 Basel;Attraktive 3.5-Zimmer-Attikawohnung im Iselin-Quartier in Basel;;3.5 rooms;80m²;CHF 890,000.–
Basel, 4053 Basel;Praktische, zentral gelegene 3.5-Zimmerwohnung (Nähe Bahnhof SBB);Die Wohnung befindet sich an zentraler Lage, wenige Minuten zu Fuss zum Bahnhof SBB Basel und überzeugt durch praktische Raumaufteilung sowie die perfekte Kombination aus Jugendstil und modernem Ausbaustandard. Ein weiteres Highlight ist das offene Wohn-/Esszimmer mit heimeligem Cheminée und direktem Zugang zum sonnigen Balkon und praktisch ist das Réduit im Treppenhausbereich mit eigener Waschmaschine und Tumbler. Die 3.5-Zimmer-Etagenwohnung eignet sich hervorragend für Singles und Paare, die an zentraler Lage in unmittelbarer Nähe von ÖV's und Einkaufsmöglichkeiten leben möchten. Wir freuen uns auf Ihre Anfrage!Genaue Adresse verfügbar nach Registrierung auf neho.ch.AN EINER BESICHTIGUNG INTERESSIERT? BITTE ANMELDEN: https://neho.ch/b/4053-24-2;3.5 rooms;85m²;CHF 895,000.–
Neuweilerstrasse 101, 4054 Basel;exklusive Stadtwohnung im Neubaustandard;;3.5 rooms;102m²;CHF 1,250,000.–
In den Klostermatten 10, 4052 Basel;gemütliche 3.5-Zimmerwohnung mit Blick ins Grüne;;3.5 rooms;67m²;CHF 550,000.–
Gotthardstrasse 37, 4054 Basel;3.0-Zimmer-Wohnung mit 2 Balkonen nähe Neuweilerplatz im Baurecht;;3 rooms;70m²;CHF 485,000.–
4055 Basel;Stadtnahes Wohnen mit Extras: Lichtdurchflutete 2,5-Zimmerwohnung in Basel mit Privatsitzplatz und beheiztem Hobbyraum;Stadtnahes Wohnen mit Extras: Lichtdurchflutete 2,5-Zimmerwohnung in Basel mit Privatsitzplatz und beheiztem HobbyraumHerzlich willkommen zu dieser einladenden 2,5-Zimmerwohnung im Herzen von Basel, in unmittelbarer Nähe zum Flughafen. Diese Erdgeschoss-Wohnung bietet eine bequeme Infrastruktur in Gehdistanz und besticht durch ihre ansprechende Gestaltung.Das grosszügige und lichtdurchflutete Wohnzimmer ist geschickt abgetrennt von der Küche, die für kulinarische Kreationen einlädt. Der Flur, das Badezimmer und die Küche sind mit zeitgemässen Fliesen versehen, während der restliche Boden mit warmem Holz für eine gemütliche Atmosphäre sorgt. Das WC ist mit einer Badewanne ausgestattet.Die Wohnung bietet einige Highlights, darunter ein privater Sitzplatz hinter dem Haus von ca. 35m², ideal für entspannte Stunden im Freien. Zusätzlich steht Ihnen ein eigener beheizter Bastelraum/Hobbyraum von etwa 18m² zur Verfügung, der vielseitige Nutzungsmöglichkeiten bietet sowie ein eigenes Kellerabteil.Diese Wohnung verbindet den Charme des urbanen Lebens mit gemütlichem Wohnkomfort und bietet eine ideale Basis, um das pulsierende Basel in vollen Zügen zu erleben.Überzeugen Sie sich selbst und vereinbaren Sie noch heute Ihren Besichtigungstermin.Wir freuen uns auf Ihre Kontaktaufnahme!Basel4055 Basel liegt im Kanton Basel-Stadt. Die Bevölkerung in der politischen Gemeinde Basel hat sich in den letzten fünf Jahren um durchschnittlich +0.2% pro Jahr auf 173'552 Einwohner verändert (Stand 31. Dez. 2022). Die Steuerbelastung liegt bei 12.5% (Kanton: 11.7%). Für die letzten fünf Jahre weist die Gemeinde im Durchschnitt eine jährliche Wohnbautätigkeit von 1.0% auf, während die Leerwohnungsziffer aktuell 1.1% beträgt (Stand 1. Jun. 2023). Die Immobilienpreise haben sich in den letzten fünf Jahren um +26.9% verändert (Kanton: +25.9%).;2.5 rooms;53m²;CHF 545,000.–
