Address;Title;Description;Rooms;Living Space (sqm);Price
Tauchergasse 4, 8226 Schleitheim;Top saniertes Einfamilienhaus mit Einliegerwohnung;;9.5 rooms;260m²;CHF 865,000.–
Steigstrasse 76, 8200 Schaffhausen;Wohnen in Schaffhauser Bahnhofsnähe;Diese neuwertige Maisonette befindet sich in einem charmanten Altbau in unmittelbarer Nähe zur Schaffhauser Altstadt. Die gemütliche, aber dennoch geräumige Wohnung wurde im Jahr 2022 umfassenden renoviert und bietet den perfekten Mix aus modernem Komfort und historischem Flair.Die Maisonette bietet Ihnen ausserdem: • Offenen Küchen-, Wohn- und Essbereich mit hohen Decken • Strahlender Parkettboden in allen Zimmern • Gut ausgestattete Küche mit eleganter Eichenholz-Bartheke • Ein vollausgebautes Badezimmer mit Dusche, Lavabo mit Unterbau, Spiegelschrank und Toilette sowie ein Gäste-WC mit Lavabo und Toilette • Einladender Balkon mit süd-östlicher Ausrichtung • Waschmaschine und Tumbler Die Wohnung wird über eine effiziente Gasheizung mit Radiatoren beheizt. Zusätzlich zur Wohnung haben Sie die Möglichkeit, eine private Garagebox (CHF 30'000.-) zu erwerben, die sich in unmittelbarer Nähe zur Wohnung befindet.Diverse Einkaufs- und Freizeitmöglichkeiten, ÖV-Haltestellen, der Bahnhof Schaffhausen sowie die Schaffhauser Altstadt sind in wenigen Gehminuten erreichbar.Weitere spannende Angaben zu dieser einzigartigen Immobilie erhalten Sie auf Anfrage oder an einer unverbindlichen Besichtigung Ihres neuen Zuhauses.Sie können es gar nicht mehr abwarten, mehr zu erfahren? Dann zögern Sie nicht und nehmen Sie noch heute mit uns Kontakt auf. Wir freuen uns auf Sie!;4.5 rooms;140m²;CHF 890,000.–
Dorfstrasse 9, 8261 Hemishofen;Künstlerhaus mit Einliegerwohnung und Atelier, nahe dem Rhein;In Rheinnähe, Künstlerhaus mit Einliegerwohnung und AtelierDieses spannende Haus liegt wenige Gehminuten vom Rhein entfernt und bietet vielfältige Nutzungsmöglichkeiten. Hier nur einige Punkte wieso dieses Haus ideal zu Ihnen passen könnte: • sonniger Garten und kleine Terrasse unweit des Rheins • spannender, nicht 0815 Grundriss • freistehendes Cheminée • moderne Küche • helles, grosses Schlafzimmer auf zwei Ebenen • kultige Einliegerwohnung • grosszügiges Atelier mit überhohen Decken • Gewölbekeller • zentrale Lage im Dorf, Fussweg zum Rhein Für Fragen oder einen unverbindlichen Besichtigungstermin stehen wir Ihnen sehr gerne zur Verfügung. Wir freuen uns auf Sie! Ellen Testi;7 rooms;280m²;CHF 950,000.–
Espiligartenweg 6, 8226 Schleitheim;7.5-Zimmer-Haus mit Photovoltaik und E-Ladestationen, tolle Raumaufteilung;Grosses Familienhaus im GrünenDieses ungemein gemütlich Haus an sehr sonniger Lage wird Ihr Herz höherschlagen lassen. Hier nur einige Punkte, was diese Liegenschaft so einzigartig macht: • Familienhaus im bündner Stil mit viel Flair • überdurchschnittlich grosse Nettowohnfläche • grosser, auch für Tierhaltung sehr geeigneter Garten • ruhige, idyllische Lage mit Weitsicht • gedeckter Sitzplatz und Laube • Holzofen in der Küche • Cheminée im Wohnzimmer • zwei Badezimmer • begehbarer Kleiderschrank • Sauna • Holzstückheizung, Bodenheizung und Radiatoren • Photovoltaikanlage 2.34 KWp • Solaranlage • zwei E-Ladestationen • grosse Werkstatt • Doppelgarage Gerne führe ich Sie durch diese schöne Liegenschaft und zeigen Ihnen, warum dies Ihr Traumhaus sein könnte.Ich freue mich auf Sie!Herzliche Grüsse und bis baldEllen Testi;7.5 rooms;207m²;CHF 1,190,000.–
Badische Bahnhofstrasse 16, 8212 Neuhausen am Rheinfall;RhyfallTower - herausragend wohnen;Auf historischem Grund entsteht der imposante RhyfallTower als Herzstück eines lebendigen Quartiers in Neuhausen am Rheinfall. Er bietet eine neue Lebenswelt an exklusiver Lage, direkt über dem grössten Wasserfall Europas. Die exklusiven Eigentumswohnungen im RhyfallTower mit ihren 5.5 Zimmern bieten Ihnen jede Menge Komfort und ein einmaliges Wohngefühl. Verteilt auf herausragende 24 Etagen erwarten Sie grosszügige Grundrisse, lichtdurchflutete Räume sowie eine einmalige Aussicht auf den Rheinfall und die umliegende, weite Landschaft bis in die Alpen.Erleben und sehen Sie sämtliche Materialien, welche Ihre neue Eigentumswohnung auszeichnen und setzen Sie die ersten virtuellen Schritte in Ihre Wohnung, direkt in unserem Showroom vor Ort. Alle Informationen zu den Wohnungen finden Sie auf der Projektwebseite unter www.kaufen.rhyfalltower.ch.Herzliche GrüsseIhr Vermarktungsteam der Tend AG;4.5 rooms;138m²;CHF 1,150,000.–
Badische Bahnhofstrasse 16, 8212 Neuhausen am Rheinfall;RhyfallTower - herausragend wohnen;Auf historischem Grund entsteht der imposante RhyfallTower als Herzstück eines lebendigen Quartiers in Neuhausen am Rheinfall. Er bietet eine neue Lebenswelt an exklusiver Lage, direkt über dem grössten Wasserfall Europas. Die exklusiven Eigentumswohnungen im RhyfallTower mit ihren 5.5 Zimmern bieten Ihnen jede Menge Komfort und ein einmaliges Wohngefühl. Alle noch verfügbaren Wohnungen bieten grosszügige Grundrisse, lichtdurchflutete Räume sowie eine einmalige Aussicht auf den Rheinfall und die umliegende, weite Landschaft.Erleben und sehen Sie sämtliche Materialien, welche Ihre neue Eigentumswohnung auszeichnen und setzen Sie die ersten virtuellen Schritte in Ihre Wohnung, direkt in unserem Showroom vor Ort. Alle Informationen zu den Wohnungen finden Sie auf der Projektwebseite unter www.kaufen.rhyfalltower.ch.Herzliche GrüsseIhr Vermarktungsteam der Tend AG;5.5 rooms;138m²;CHF 1,190,000.–
Meisenweg 15, 8200 Schaffhausen;5.5-Zi-Attikawohnung in unmittelbarer Schaffhauser Bahnhofsnähe;"Willkommen in Ihrer neuen Traumwohnung, nur wenige Gehminuten vom Schaffhauser Bahnhof und der bezaubernden Altstadt entfernt. Diese einladende Attikawohnung zeichnet sich nicht nur durch ihre erstklassige Lage aus, sondern besticht zudem mit ihrer guten Ausstattung und der atemberaubenden Aussicht auf das beeindruckende ""Munot""-Wahrzeichen.Die Maisonette bietet Ihnen ausserdem: • Heller und grosszügiger Wohn- und Essbereich mit schöner Aussicht und heimeligen Cheminée • Weitläufige Terrasse mit faszinierendem Panorama und Aussenkamin für gesellige Stunden • Strahlende und gepflegte Marmorböden • Waschmaschine &amp; Tumbler • Zwei voll ausgestattete Badezimmer mit Dusche, Badewanne, Lavabo, Spiegelschrank und Toilette. Zusätzlich ein Gäste-WC mit Lavabo und Toilette. • Gut ausgestattete Küche mit idyllischem Ausblick ins Grüne Die Wohnung verfügt über drei Schlafzimmer, welche sich auf der rechten Seite des Eingangs befinden. Sie verfügen über helle Teppichböden und grosszügige Fenster wie auch praktischen Einbauschränken. Im oberen Geschoss erwartet Sie eine Galerie sowie ein weiteres Zimmer mit Balkon, welches optimal für Home-Office Tage genutzt werden kann.Weiter können zwei Einstellplätze (je CHF 30'000) wie auch ein Bastelraum (CHF 20'000) erworben werden. Für wohlige Wärme sorgt eine effiziente Gasheizung.In unmittelbarer Nähe finden Sie diverse Einkaufsmöglichkeiten, Restaurants, Schulen und öffentliche Verkehrsmittel. Zudem sind Sie nur einen Katzensprung von Naherholungsgebieten wie dem Rhein und dem Klettgau entfernt.Weitere aufregende Details zu dieser einzigartigen Immobilie erhalten Sie gerne auf Anfrage oder bei einer unverbindlichen Besichtigung. Sie können es kaum erwarten, mehr zu erfahren? Dann zögern Sie nicht und nehmen Sie noch heute Kontakt mit uns auf. Wir freuen uns darauf, Sie in Ihrem neuen Zuhause willkommen zu heissen!";5.5 rooms;230m²;CHF 1,590,000.–
Birchweg 42, 8200 Schaffhausen;Moderne Eigentumswohnung im Talberg;Werden Sie Teil einer Gemeinschaft mit einem zukunftsorientierten Konzept - die moderne und zeitgemässe Architektur überzeugt mit ihrer Geradlinigkeit und Eleganz im Innenausbau.Das Neubauprojekt befindet sich in der Nähe umfassenden Infrastruktur und der Schaffhauser Altstadt.Hier wenige Highlights: • Neubauwohnung mit grosszügiger Terrasse oder Balkon • Befindet sich bereits im Bau und ist bezugsbereit ab Frühling 2025 • Hochwertiger Innenausbau mit Option zur Individualisierung • Reduit und separates Kellerabteil • Tiefgaragenplatz kann für CHF 38'000.- dazu erworben werden • Zugang über Lift Gerne lassen wir Ihnen die detaillierten Verkaufsunterlagen zukommen und stehen Ihnen für ein persönliches Gespräch zur Verfügung.Wir freuen uns auf Ihre Kontaktaufnahme.Ihr Casaly-Team;2.5 rooms;63m²;CHF 535,000.–
Neuhausen am Rheinfall, 8212 Neuhausen am Rheinfall;4.5-Zimmer Wohnung im Rhyfalltower;Diese grosszügige und helle 4.5-Zimmer Wohnung mit Erstbezug im Frühling 2024, liegt im neu erstellten Rhytech-Quartier in Neuhausen am Rheinfall. Einkaufsmöglichkeiten und Gastronomieangebote finden Sie unmittelbar im Rhytech-Quartier. Die Wohnung liegt im 5. Obergeschoss und überzeugt durch ihren hochwertigen Ausbaustandard, die sonnenverwöhnten Wohnräume und einem schönen Weitblick. Weitere Wohnhighlights sind das Vierjahreszeitenzimmer, die offene Küche, zwei Nasszellen mit je einer Dusche oder einer Badewanne sowie das Reduit mit eigenem Waschturm. Die Wohnung mit einer Fläche von 137 m2 bietet rundum viel Wohnkomfort. Zur Wohnung gehört ein Einstellplatz in der hauseigenen Tiefgarage und ein Kellerabteil. Der öffentliche Verkehr, der Rheinfall und das Zentrum sind nur wenige Schritte entfernt.Genaue Adresse verfügbar nach Registrierung auf neho.ch.AN EINER BESICHTIGUNG INTERESSIERT? BITTE ANMELDEN: https://neho.ch/b/8212-24-1;4.5 rooms;137m²;CHF 1,165,000.–
Schaffhausen, 8200 Schaffhausen;Modernisierte 2.5-Zimmer-Wohnung an begehrter Lage;Mit grosser Freude präsentieren wir Ihnen hier eine modernisierte 2.5-Zimmer-Wohnung an ruhiger, attraktiver Lage in Schaffhausen. Das offene Wohn-/Esszimmer mit direktem Zugang zum sonnigen Südwestbalkon, das helle Wohnambiente sowie die hochwertige Küche mit ordentlich Stauraum garantieren ein wunderbares Wohnerlebnis. Das Badezimmer mit begehbarer Dusche und die zahlreichen Einbauschränke komplettieren dieses Angebot ideal. Zögern Sie nicht und kontaktieren Sie uns!Genaue Adresse verfügbar nach Registrierung auf neho.ch.AN EINER BESICHTIGUNG INTERESSIERT? BITTE ANMELDEN: https://neho.ch/b/8200-23-3;2.5 rooms;74m²;CHF 380,000.–
