Address;Title;Description;Rooms;Living Space (sqm);Price
2035 Corcelles-Cormondrèche;Vue plongeante sur le Lac de Neuchâtel à Corcelles-Cormondrèche;"Nichée au coeur de la région du Littoral et à proximité du lac de Neuchâtel, Corcelles-Cormondrèche offre un cadre naturel magnifique etpréservé, qui permet aux résidants de vivre dans une atmosphère conviviale et paisible, protégés des nuisances urbaines. Sa situation et sa bonne desserte par les transports en communs facilitent les déplacements vers les villes environnantes et permet aux habitants de se trouver à proximité des commodités.Ce projet s'élèvera dans un quartier résidentiel et paisible. Les villas ont été pensées avec une attention particulière portée au confort, au design et aux matériaux, en vue d'assurer un lieu de vie idéal qui allie esthétisme, fonctionnalité et modernité, en accord avec les normes actuelles de construction.Les finitions de chaque villa sont au gré du preneur, ce qui permet ainsi une parfaite personnalisation des espaces.Deux place de stationnement extérieures sont vendues avec la villa en sus du prix de vente.La liste des villas disponibles peut être consultée sur www.villas-lakkos.chN'hésitez pas à nous contacter pour de plus amples informations ou pour une visite au 032 723 23 43, nous serons ravis de vous renseigner.***La Villa A est composée de 2.5 pièces réparties sur 3 niveaux :&gt; Rez inférieur :- 50 m2 habitables et 21 m2 de terrasse- 2 chambres avec accès terrasse- 1 salle de bain et 1 buanderie- 1 cave&gt; Rez supérieur : 63 m2 habitables et 33 m2 de terrasse- hall d'entrée avec armoire murale- cuisine ouverte sur le séjour- espace économat- 1 toilette&gt; 1er étage : 61 m2 habitables et 18 m2 de balcon- 2 chambres et 1 salle de bain dans le couloir- 1 chambre parentale avec espace dressing, salle de bain attenante et accès balconLes deux places de parking extérieures sont situées à l'entrée de la villa.";2.5 rooms;210m²;CHF 2,384,170.–
Rue de la Gare, 2206 Les Geneveys-sur-Coffrane;MAGNFIQUE APPARTEMENT AVEC JARDIN;SUBLIME APPARTEMENT AVEC JARDIN DE 140M2 DANS UNE RÉSIDENCE CALME DE 18 APPARTEMENTS EN PPE Cette nouvelle construction se situe sur la commune des Geneveys-sur-Coffrane, localité du Val-de-Ruz, desservie par les transports publics et depuis laquelle vous pouvez rejoindre Neuchâtel en seulement 13 minutes en voiture.Elle est composée de 18 appartements de 3.5 et 2.5 pièces répartis dans 3 bâtiments de 3 étages. Les appartements du rez-de-chaussée offrent des jardins privatifs. Tandis que ceux en étage profitent de belles terrasses.La composition de ce lot est détaillée dans la brochure dont vous pouvez nous faire la demande.La réalisation de vos souhaits de personnalisation de votre future habitation fait partie intégrante de notre philosophie d'entreprise.Nous sommes à votre entière disposition pour vous fournir de plus amples informations, notamment en ce qui concerne la modularité des espaces et vos souhaits d’individualisation.Du sol au plafond choisiez vos couleurs votre harmonie. Avec des conception 3DUne place de parc est également prévu pour chaque appartement, en sus du prix. (intérieur : CHF 28'000.-/la place, extérieure : CHF 10'000.-/la place, box : CHF 35'000.-).La construction est faite sous le label Minergie et les finitions seront naturellement au gré du preneur.Laissez-vous séduire par ce projet.N'hésitez pas à nous contacter pour plus de renseignement ou pour l'organisation d'un rendez-vous.TOUS LES DÉTAILS DU PROJET SUR LE LIEN CI-DESSOUS :;2.5 rooms;140m²;CHF 821,700.–
Rue de la Gare, 2206 Les Geneveys-sur-Coffrane;DUPLEX LUMINEUX ET SPACIEUX;SUBLIME DUPLEX DE 180M2 DANS UNE RÉSIDENCE CALME DE 18 APPARTEMENTS EN PPE LOT MCette nouvelle construction se situe sur la commune des Geneveys-sur-Coffrane, localité du Val-de-Ruz, desservie par les transports publics et depuis laquelle vous pouvez rejoindre Neuchâtel en seulement 13 minutes en voiture.Elle est composée de 18 appartements de 3.5 et 2.5 pièces répartis dans 3 bâtiments de 3 étages. Les appartements du rez-de-chaussée offrent des jardins privatifs. Tandis que ceux en étage profitent de belles terrasses.La composition de ce lot est détaillée dans la brochure dont vous pouvez nous faire la demande.La réalisation de vos souhaits de personnalisation de votre future habitation fait partie intégrante de notre philosophie d'entreprise.Nous sommes à votre entière disposition pour vous fournir de plus amples informations, notamment en ce qui concerne la modularité des espaces et vos souhaits d’individualisation.Du sol au plafond choisiez vos couleurs votre harmonie. Avec des conception 3DUne place de parc est également prévu pour chaque appartement, en sus du prix. (intérieur : CHF 28'000.-/la place, extérieure : CHF 10'000.-/la place, box : CHF 35'000.-).La construction est faite sous le label Minergie et les finitions seront naturellement au gré du preneur.Laissez-vous séduire par ce projet.N'hésitez pas à nous contacter pour plus de renseignement ou pour l'organisation d'un rendez-vous.TOUS LES DÉTAILS DU PROJET SUR LE LIEN CI-DESSOUS;2.5 rooms;180m²;CHF 834,150.–
2000 Neuchâtel;LOT G - AVEC UNE VUE LAC PANORAMIQUE, DE HAUT STANDING;;2.5 rooms;140m²;CHF 1,743,000.–
Rue Edouard-Dubied 13, 2108 Couvet;Appt PPE neuf de 2.5 pces avec balcon Campagne Pernod, lot A9;;2.5 rooms;29m²;CHF 627,480.–
A St-Aubin-Sauges, 2024 St-Aubin-Sauges;Du neuf et beaucoup d'authenticité;;2.5 rooms;140m²;CHF 958,650.–
Orée, 2208 Les Hauts-Geneveys;Vente sur plan - Superbe appartement avec très grand jardin !;;2.5 rooms;200m²;CHF 1,232,550.–
2074 Marin-Epagnier;Havre de paix à deux pas du Lac de Neuchâtel;Nichée à l'Est de la région du Littoral, à la pointe nord-est du lac de Neuchâtel et limitrophe du canton de Berne, Marin-Epagnier se distingue par son cadre naturel exceptionnel et préservé, ce qui en fait un lieu de vie privilégié.A proximité immédiate du lac, ce projet s'élèvera dans un quartier résidentiel et paisible de la Tène.Le bâtiment a été conçu avec une attention particulière portée à l'accessibilité, au design et aux matériaux, dans le but de créer un lieu de vie idéal qui allie esthétisme, fonctionnalité et modernité, en accord avec les normes actuelles de construction.Les finitions de chaque appartement sont au gré du preneur, ce qui permet ainsi une parfaite personnalisation des espaces.La liste des appartements disponibles peut être consultée sur www.perles-de-la-ramee.chN'hésitez pas à nous contacter pour de plus amples informations ou pour une visite au 032 723 23 43, nous serons ravis de vous renseigner.***L'appartement I, penthouse, est composé de 2.5 pièces :- 109 m2 habitables et 170 m2 de terrasse- cuisine ouverte sur séjour- 3 chambres, dont une avec salle de douche, dressing et accès à la terrasse- 1 salle de bain- espace pour colonne de lavage- 1 cave en sous-sol- parking véhicule et vélo en sous-solLe parking intérieur est situé au sous-sol de l'immeuble et une place de parc double est comprise dans le prix de vente.;2.5 rooms;150m²;CHF 1,668,300.–
Rue de Corcelles 12, 2034 Peseux;Attique d'exception;;2.5 rooms;180m²;CHF 2,614,500.–
2035 Corcelles-Cormondrèche;Vue plongeante sur le Lac de Neuchâtel à Corcelles-Cormondrèche;"Nichée au coeur de la région du Littoral et à proximité du lac de Neuchâtel, Corcelles-Cormondrèche offre un cadre naturel magnifique etpréservé, qui permet aux résidants de vivre dans une atmosphère conviviale et paisible, protégés des nuisances urbaines. Sa situation et sa bonne desserte par les transports en communs facilitent les déplacements vers les villes environnantes et permet aux habitants de se trouver à proximité des commodités.Ce projet s'élèvera dans un quartier résidentiel et paisible. Les villas ont été pensées avec une attention particulière portée au confort, au design et aux matériaux, en vue d'assurer un lieu de vie idéal qui allie esthétisme, fonctionnalité et modernité, en accord avec les normes actuelles de construction.Les finitions de chaque villa sont au gré du preneur, ce qui permet ainsi une parfaite personnalisation des espaces.Deux place de stationnement extérieures sont vendues avec la villa en sus du prix de vente.La liste des villas disponibles peut être consultée sur www.villas-lakkos.chN'hésitez pas à nous contacter pour de plus amples informations ou pour une visite au 032 723 23 43, nous serons ravis de vous renseigner.***La Villa C est composée de 2.5 pièces réparties sur 3 niveaux :&gt; Rez inférieur :- 50 m2 habitables et 21 m2 de terrasse- 2 chambres avec accès terrasse- 1 salle de bain et 1 buanderie- 1 cave&gt; Rez supérieur : 63 m2 habitables et 33 m2 de terrasse- hall d'entrée avec armoire murale- cuisine ouverte sur le séjour- espace économat- 1 toilette&gt; 1er étage : 61 m2 habitables et 18 m2 de balcon- 2 chambres et 1 salle de bain dans le couloir- 1 chambre parentale avec espace dressing, salle de bain attenante et accès balconLes deux places de parking extérieures sont situées à l'entrée de la villa.";2.5 rooms;210m²;CHF 2,384,170.–
