Address;Title;Description;Rooms;Living Space (sqm);Price
8132 Egg b. Zürich;Attikawohnung mit 2.5-Zimmer. Neubauprojekt 5-Elemenz;;2.5 rooms;200m²;CHF 3,137,400.–
Wigarteweg 5, 8915 Hausen am Albis;Neubauprojekt * Tolle Gartenwohnung;;2.5 rooms;150m²;CHF 1,942,200.–
Ankenhofstrasse 31, 8102 Oberengstringen;"Sunside of Zurich"" Oberengstringen";;1.5 rooms;150m²;CHF 2,651,850.–
8103 Unterengstringen;"""Vivendo"" Sie sind der Erste!";;2.5 rooms;150m²;CHF 1,928,500.–
Seestrasse, 8810 Horgen;LAGO MIO - Wohnen direkt am See;;2.5 rooms;220m²;CHF 6,100,500.–
8104 Weiningen ZH;Steuergünstig und sonnenverwöhnt: Dachmaisonette im Erstbezug;;1.5 rooms;150m²;CHF 1,730,550.–
Sonnenbühlstrasse 12a, 8181 Höri;"grosses Einfamilienhaus ""WEST"" mit freier Sicht ins Grüne";;2 rooms;;CHF 2,483,770.–
Dorfstrasse, 8166 Niederweningen;Ihre 1.5-Zimmer Eigentumswohnung in Niederweningen;"Im idyllischen Neubauprojekt ""Gupfengarten"" in Niederweningen, im westlichen Zürcher Unterland, bietet die letzte attraktive 1.5-Zimmer Eigentumswohnungen viel Behaglichkeit und Lebensqualität.Gupfengarten liegt wunderschön in die Natur eingebettet und ist der ideale Rückzugsort für Familien und Paare.Der Fahrverkehr gelangt direkt ab der Dorfstrasse in die Einstellhalle. Fussgänger und Velofahrer gelangen über den zentralen Wohn- und Spielhof zu ihren Wohneinheiten.Die vielseitige Landschaft rund um den Lägern sowie die guten Verkehrsanbindungen ermöglichen unzählige Freizeitmöglichkeiten.Die nahgelegenen Autobahnanschlüsse sorgen zudem für eine optimale Anbindung nach Baden und Zürich.Sichern Sie sich jetzt die letzte 1.5-Zimmer Wohnung und melden Sie sich unter www.gupfengarten.ch.";1.5 rooms;120m²;CHF 1,083,150.–
Dorfstrasse 11, 8523 Hagenbuch;Neubau - 3 1/2-Zimmer-Maisonette-Whg. - Überbauung Freihof;;1.5 rooms;160m²;CHF 1,045,800.–
8703 Erlenbach ZH;Der stilvolle Wohntraum an bevorzugter Wohnlage in Erlenbach;;2.5 rooms;190m²;CHF 4,793,250.–
Rebstrasse 6a, 8703 Erlenbach;Der stilvolle Wohntraum an bevorzugter Wohnlage in Erlenbach;;1 room;200m²;CHF 4,046,250.–
Roswiesenstrasse 133, 8051 Zürich;Top modern konzipierte Neubauwohnungen an ruhiger und sonniger Wohnlage;;2.5 rooms;140m²;CHF 2,602,050.–
Grossacherstrasse 16, 8904 Aesch ZH;DuoVivo, Aesch ZH: Wohnen mit eigenem Garten;An wunderschöner Südwestanglage am Rande von Aesch ZH angrenzend zur Landwirtschaftszone befindet sich das Projekt DuoVivo. www.duovivo.chInfo-Anlass auf dem Grundstück am Samstag, 18. Mai 2024 von 12.00 - 13.30 UhrHier entstehen sechs hochwertige 1.5- bis 5.5-Zimmer-Eigentumswohnungen mit viel Sonne und bester Aussicht über Aesch ZH und in die Ferne. Bringen Sie Ihre eigene Note durch Ihre persönlichen Ausbauwünsche ein. Der angedachte Ausbaustandard ist hochwertig und gibt Ihnen maximale Flexibilität. Top-Highlights: • erhöht und aussichtsreich - über den Dächern von Aesch befindet sich das Grundstück an der Grossacherstr. 16. • vielseitiges Angebot: ob lieber viel Garten oder grosse und hohe Räume im Dachgeschoss: im DuoVivo finden Sie beides • flexibel und massgeschneidert: Wählen Sie Ihren persönlichen Ausbau selber aus. Die angedachten Budgets sind grosszügig und lassen viel Flexibilität zu. • umweltbewusst und zukunftsorientiert: Durch die Erdsondenwärmepumpe, die Photovoltaikanlage auf dem Dach sowie der Vorbereitung zur E-Mobilität in der Tiefgarage ist für effiziente und saubere Energie gesorgt. • Der Baubeginn ist auf Herbst 2024 geplant. Interessiert? Gerne stellen wir Ihnen das Projekt näher vor. Weitere Informationen finden Sie zudem unter www.duovivo.ch.Wir freuen uns auf Ihre Anfrage.;1.5 rooms;20m²;CHF 1,058,250.–
Vorderzelgstrasse 6, 8700 Küsnacht ZH;The Terraces - Gartenwohnung;;2.5 rooms;280m²;Price on request
Lebernstrasse 1, 8123 Ebmatingen;Letzte exklusive 2.5-Zimmer-Wohnung im ANGOLO;"Exklusive 2.5-Zimmerwohnung im ""ANGOLO"" - Geniessen Sie stilvolles WohnenWillkommen im exklusiven ""ANGOLO"" Projekt - Hier erwartet Sie die letzte aussergewöhnliche 2.5-Zimmerwohnung im 1. Stock, die höchsten Wohnansprüchen gerecht wird. Diese luxuriöse Wohnung bietet grosszügige 190m² Wohnfläche, ein geräumiges Wohnzimmer mit offener Küche, fünf Schlafzimmer und drei stilvolle Nasszellen. Eine ideal ausgerichteter Balkon lädt zum Entspannen ein.Highlights: • 190m² Wohnfläche • Geräumiges Wohnzimmer mit offener Küche • Fünf Schlafzimmer für maximale Privatsphäre ! • Schöner Balkon/Sitzplatz mit Ausblick • Eigener Waschturm und grosser Keller-/Disporaum • zwei Garagenparkplätze garantiert ! ""ANGOLO"" Haus 1 mit nur drei Wohn-Einheiten (4.5 bis 2.5-Zi-Wohnungen) bietet maximale Privatsphäre und exklusive Atmosphäre. Kontaktieren Sie uns für weitere Informationen und sichern Sie sich diese einzigartige 2.5-Zimmerwohnung!Auf der Projekt-Homepage: www.angolo-Ebmatingen.ch finden Sie alle wichtigen Details dieses aussergewöhnlichem Projektes.";2.5 rooms;190m²;CHF 2,589,600.–
Roswiesenstrasse 133, 8051 Zürich;Top Attika modern konzipierte Neubauwohnung an ruhiger und sonniger Wohnlage;;1.5 rooms;30m²;CHF 2,303,250.–
Buchzelgstrasse 82, 8053 Zürich;Grosszügige 2.5-Zimmer-Geschosswohnung Nr. 101, Buchzelg 82, 1. OG;"Neubauprojekt ""Buchzelg 82""Der Gebäudekörper wird mit seinen 3 Voll- und einem Attikageschoss harmonisch in die Quartierstruktur an der ruhig gelegenen Ecke Buchzelgstrasse / Lehfrauenweg eingepasst. Das Gebäude mit Aussenwärmedämmung wird mit einer hochwertigen Klinker-Verkleidung versehen, welche architektonisch ansprechend und unterhaltsarm ist. Die markanten Fenstereinfassungen in dunklem Ton heben sich stylisch von den horizontalen Bändern ab. Diese fassen die Vor- und Rücksprünge der Fassaden zu einer Einheit zusammen. Die sich wiederholenden Fensterformate sind grosszügig, raumhoch und unterstreichen die innenräumliche Wirkung als Panorama-Öffnungen im Stile gerahmter Bilder.Der Neubau enthält 4 Geschosswohnungen. Da sich jede Einheit über ein ganzes Geschoss erstreckt, geniessen alle Wohnungen herrliche Lichtverhältnisse und erhalten viel Privatsphäre.Im Untergeschoss des Gebäudes sind die Autoparkplätze untergebracht. Ein Autolift bedient die vier Parkplätze. Drei Motorradparkplätze stehen ebenfalls zur Verfügung wie auch Voloabstellflächen mit Steckdosen für E-Bike-Batterien.Zu jeder Wohnung gehört ein Keller.";2.5 rooms;200m²;CHF 4,170,750.–
Buchzelgstrasse 82, 8053 Zürich;Einzigartige 2.5-Zimmer-Attika-Wohnung;"Neubauprojekt ""Buchzelg 82""Der Gebäudekörper wird mit seinen 3 Voll- und einem Attikageschoss harmonisch in die Quartierstruktur an der ruhig gelegenen Ecke Buchzelgstrasse / Lehfrauenweg eingepasst. Das Gebäude mit Aussenwärmedämmung wird mit einer hochwertigen Klinker-Verkleidung versehen, welche architektonisch ansprechend und unterhaltsarm ist. Die markanten Fenstereinfassungen in dunklem Ton heben sich stylisch von den horizontalen Bändern ab. Diese fassen die Vor- und Rücksprünge der Fassaden zu einer Einheit zusammen. Die sich wiederholenden Fensterformate sind grosszügig, raumhoch und unterstreichen die innenräumliche Wirkung als Panorama-Öffnungen im Stile gerahmter Bilder.Der Neubau enthält 4 Geschosswohnungen. Da sich jede Einheit über ein ganzes Geschoss erstreckt, geniessen alle Wohnungen herrliche Lichtverhältnisse und erhalten viel Privatsphäre.Im Untergeschoss des Gebäudes sind die Autoparkplätze untergebracht. Ein Autolift bedient die vier Parkplätze. Drei Motorradparkplätze stehen ebenfalls zur Verfügung wie auch Voloabstellflächen mit Steckdosen für E-Bike-Batterien.Zu jeder Wohnung gehört ein Keller.";2.5 rooms;140m²;CHF 3,610,500.–
Zürcherstrasse 22a, 8104 Weiningen ZH;Steuergünstig und stadtnah: komfortable Dachmaisonette;;1.5 rooms;140m²;CHF 1,531,350.–
Im Obstgarten 1b, 8414 Buch am Irchel;Bereit für neues Wohnen?;;2.5 rooms;190m²;CHF 1,630,950.–
8803 Rüschlikon;"Neubauprojekt ""noblesse"": Deluxe-Gartenwohnung";;2.5 rooms;200m²;Price on request
Baumackerstrasse, 8050 Zürich;Mitten im Zentrum;;2.5 rooms;150m²;CHF 2,676,750.–
Roswiesenstrasse 133, 8051 Zürich;Top modern konzipierte Neubauwohnungen an ruhiger und sonniger Wohnlage;;2.5 rooms;120m²;CHF 2,353,050.–
Hagenbüel 1, 8308 Illnau;2.5-Zimmerwohnung mit optimaler Besonnung;;2.5 rooms;140m²;CHF 1,556,250.–
Berggasse 25, 8332 Russikon;OLINA Russikon - 2.5 Gartenwohnung mit Fernsicht;;2.5 rooms;140m²;CHF 1,630,950.–
Alte Landstrasse 2-6, 8800 Thalwil;TRIANGOLO 8800 - IHR NEUES ZU HAUSE IN THALWIL;;2.5 rooms;130m²;CHF 2,116,500.–
Schmiedgasse 3, 8545 Rickenbach ZH;4 .5 Zi-Wohnung in Rickenbach/ZH;;2.5 rooms;150m²;CHF 1,199,550.–
Binzackerstrasse 23, 8620 Wetzikon ZH;Gartenwohnung im Zentrum von Wetzikon;;1.5 rooms;27m²;CHF 1,282,350.–
Talweg 3, 8610 Uster;Elegante Neubauwohnung im Herzen von Oberuster;Im Kundenauftrag verkaufen wir in der Kernzone von Oberuster eine neu erstellte, rollstuhlgängige und komfortabel ausgestattete 4½-Zimmer-Wohnung im 2. Obergeschoss eines Mehrfamilienhauses. Zur Wohnung gehören ein Kellerabteil sowie ein Autoeinstellplatz in der Unterniveaugarage (Grundinstallation für E-Mobilität vorhanden). Dank der zentralen Lage in Oberuster mit Einkaufsmöglichkeiten für den täglichen Bedarf (Coop rund 150 m entfernt), Restaurants in Gehdistanz und der in wenigen Schritten erreichbaren Bushaltestelle ist im Alltag kein Auto nötig. Ein schönes Naherholungsgebiet ist ebenfalls nur wenige Gehminuten entfernt. Für Familien mit schulpflichtigen Kindern ist zudem das Primarschulhaus mit Kindergarten in unmittelbarer Nachbarschaft ein weiteres Plus. Die elegante Neubauwohnung steht ab sofort zum Erstbezug bereit.Verkaufsrichtpreis: CHF 1'190'000.-- inkl. TiefgaragenplatzBesuchen Sie unseren 360° Rundgang und verschaffen Sie sich einen ersten Eindruck von der Immobilie.Haben wir Ihr Interesse geweckt? Gerne senden wir Ihnen das ausführliche Exposé über dieses interessante Angebot.;2.5 rooms;130m²;CHF 1,481,550.–
Binzackerstrasse 23, 8620 Wetzikon ZH;Modernes Wohnen im Zentrum von Wetzikon;;1.5 rooms;27m²;CHF 1,282,350.–
Frohalpstrasse 21, 8038 Zürich;Neubau: 2.5-Zimmer-Gartenwohnung;"Das in einer 30er-Zone gelegene Wohnensemble ""Frohalp"" umfasst 17 exklusive Wohnungen zwischen 2.5 und 5.5 Zimmern, wovon 14 zum Verkauf stehen. Es punktet nicht nur mit seiner zugleich stadt- und naturnahen Toplage im aufstrebenden Zürcher Quartier Wollishofen, sondern überzeugt auch mit einem Höchstmass an Qualität und Stil. Auf vielfältige Art und Weise ist es den Architekten gelungen, Baukunst und Natur miteinander zu verbinden: So fügt sich das Ensemble harmonisch in seine Umgebung ein, indem es einen gekonnten Akzent inmitten von historischen und modernen Bauten setzt. Die massgeschneiderten Grundrisse mit ihren grossen Fensterfronten erlauben den Blick in verschiedene Himmelsrichtungen, und die durchdacht ausgerichteten Terrassen, Balkone und Sitzplätze lassen Innen- und Aussenraum fliessend ineinander übergehen. Diese Symbiose aus Einzigartigkeit, Ästhetik und baulichem Raffinement machen die ""Frohalp"" zu einem rundum gelungenen Gesamtpaket.Der Bau ist bereits gestartet und die Übergabe wird voraussichtlich im Juni 2024 erfolgen.Mehr Informationen auf der Projektwebseite: https://frohalp-wollishofen.ch/Die Wohnung stellt die ""F21 E"" dar.";2.5 rooms;210m²;CHF 4,257,900.–
8483 Kollbrunn;Exklusive Loftwohnung in der denkmalgeschützten Spinnerei Kollbrunn;;2.5 rooms;170m²;CHF 1,307,250.–
8603 Schwerzenbach;Neubauprojekt in Schwerzenbach;;2.5 rooms;160m²;CHF 2,104,050.–
Buchzelgstrasse 82, 8053 Zürich;Buchzelg 82, Gartenwohnung 001;"Neubauprojekt ""Buchzelg 82""Der Gebäudekörper wird mit seinen 3 Voll- und einem Attikageschoss harmonisch in die Quartierstruktur an der ruhig gelegenen Ecke Buchzelgstrasse / Lehfrauenweg eingepasst. Das Gebäude mit Aussenwärmedämmung wird mit einer hochwertigen Klinker-Verkleidung versehen, welche architektonisch ansprechend und unterhaltsarm ist. Die markanten Fenstereinfassungen in dunklem Ton heben sich stylisch von den horizontalen Bändern ab. Diese fassen die Vor- und Rücksprünge der Fassaden zu einer Einheit zusammen. Die sich wiederholenden Fensterformate sind grosszügig, raumhoch und unterstreichen die innenräumliche Wirkung als Panorama-Öffnungen im Stile gerahmter Bilder.Der Neubau enthält 4 Geschosswohnungen. Da sich jede Einheit über ein ganzes Geschoss erstreckt, geniessen alle Wohnungen herrliche Lichtverhältnisse und erhalten viel Privatsphäre.Im Untergeschoss des Gebäudes sind die Autoparkplätze untergebracht. Ein Autolift bedient die vier Parkplätze. Drei Motorradparkplätze stehen ebenfalls zur Verfügung wie auch Voloabstellflächen mit Steckdosen für E-Bike-Batterien.Zu jeder Wohnung gehört ein Keller.GartenparadiesDie 2.5-Zimmer-Gartenwohnung ist in eine grosszügige Rasenfläche von etwa 150 Quadratmetern eingebettet und wird von einer attraktiven und naturnahen Randbepflanzung der Grundstücksgrenze entlang eingerahmt. Die beiden Sitzplätze sind mit Platten belegt und bieten einen angenehmen Aussenraum.Der Eingangsbereich mit Garderobe teilt den Wohn-/Essbereich von den 4 Zimmern, den Privaträumen.Die grosszügige Küche mit Kochinsel ist offen mit dem Essbereich verbunden und geht nahtlos in den Wohnbereich über.Der Korridor verbindet die Gäste-Toilette, ein Badezimmer, 3 Zimmer, das Réduit wie auch den grosszügigen Master-Bereich, welcher Schlafzimmer, Ankleide und Badezimmer mit Doppellavabo, Toilette, Dusche und freistehender Badewanne beinhaltet.";2.5 rooms;190m²;CHF 4,046,250.–
Wiesengrundweg 6, 8824 Wädenswil;"Neubauwohnung ""ELEVADA"" mit Hausflair";;2 rooms;220m²;Price on request
Im Obstgarten 3a, 8414 Buch am Irchel;Schon fast bereit für den Einzug! Fangen Sie an zu packen!;;2.5 rooms;200m²;CHF 1,668,300.–
Rebstrasse 6a, 8703 Erlenbach ZH;Der stilvolle Wohntraum an bevorzugter Wohnlage in Erlenbach;;1.5 rooms;180m²;CHF 3,486,000.–
Auenstrasse 3b,c,d, 8617 Mönchaltorf;"Letzte zwei Einheiten: Neubauwohnungen ""Maigold"". Bezug März 2025.";;2.5 rooms;130m²;CHF 1,481,550.–
8483 Kollbrunn;Exklusive Eckwohnung in der denkmalgeschützten Spinnerei Kollbrunn;;2.5 rooms;170m²;CHF 1,630,950.–
Turmstrasse 80, 8400 Winterthur;Attikawohnung an Toplage in Winterthur;;1.5 rooms;130m²;CHF 2,178,750.–
Roswiesenstrasse 133, 8051 Zürich;Top modern konzipierte Neubauwohnungen an ruhiger und sonniger Wohnlage;;2.5 rooms;140m²;CHF 2,552,250.–
Alte Landstrasse 2-6, 8800 Thalwil;TRIANGOLO 8800 - IDYLLISCHE NEUBAU-GARTENWOHNUNG;;2.5 rooms;130m²;CHF 2,153,850.–
Regensbergstrasse 138, 8050 Zürich;Grandiose Dachterrasse inklusive!;;1.5 rooms;30m²;CHF 2,104,050.–
Rheinsfelderstrasse 14, 8192 Zweidlen;Modernes Wohnen im Herzen von Zweidlen;;1.5 rooms;30m²;CHF 932,500.–
Im Bödeli 8, 8624 Grüt (Gossau ZH);"Nächster Halt; Eigenheim mit Aussicht zum geniessen!";;2.5 rooms;160m²;Price on request
Rheinsfelderstrasse 14, 8192 Zweidlen;Modernes Wohnen im Herzen von Zweidlen;;2.5 rooms;140m²;CHF 1,139,170.–
Alte Hedingerstrasse 17a, 8910 Affoltern am Albis;Neubau Wohnungen an beliebter Lage;;2.5 rooms;160m²;Price on request
Sonnenbühlstrasse 12b, 8181 Höri;"grosses Einfamilienhaus ""OST"" mit freier Sicht ins Grüne";;2 rooms;;CHF 2,433,970.–
Vorderzelgstrasse 6, 8700 Küsnacht ZH;The Terraces - Attikawohnung;;2.5 rooms;200m²;Price on request
Hagenbüel 4, 8308 Illnau;2.5-Zimmerwohnung mit einmaliger Aussicht;;2.5 rooms;140m²;CHF 1,556,250.–
Binzackerstrasse 23, 8620 Wetzikon ZH;Modernes Wohnen im Zentrum von Wetzikon;;1.5 rooms;27m²;CHF 1,238,770.–
Seestrasse, 8810 Horgen;LAGO MIO - Wohnen direkt am Zürichsee;;2.5 rooms;290m²;CHF 7,968,000.–
Weinbergstrasse 29, 8802 Kilchberg ZH;Traumhafte Seesicht in Kilchberg;;2.5 rooms;260m²;Price on request
Rebstrasse 6a, 8703 Erlenbach ZH;Der stilvolle Wohntraum an bevorzugter Wohnlage in Erlenbach;;1 room;230m²;CHF 4,345,050.–
Seestrasse, 8810 Horgen;LAGO MIO - Wohnen direkt am Zürichsee;;2.5 rooms;200m²;CHF 5,602,500.–
Seebacherstrasse 28, 8052 Zürich-Seebach;Attika-Wohnung (Neubau) mit Rundumblick und mehreren Terrassen;;2.5 rooms;140m²;CHF 2,651,850.–
Schmiedgasse 3, 8545 Rickenbach ZH;3 .5 Zi-Wohnung in Rickenbach/ZH;;1.5 rooms;26m²;CHF 915,070.–
8483 Kollbrunn;Exklusive Loftwohnung in der denkmalgeschützten Spinnerei Kollbrunn;;2.5 rooms;160m²;CHF 1,263,670.–
